Skyline_filename,MassiveID,filename,SampleType,SampleTypeSub1,NCBITaxonomy,YearOfAnalysis,SampleCollectionMethod,SampleExtractionMethod,InternalStandardsUsed,MassSpectrometer,IonizationSourceAndPolarity,ChromatographyAndPhase,SubjectIdentifierAsRecorded,AgeInYears,BiologicalSex,UBERONBodyPartName,TermsofPosition,HealthStatus,DOIDCommonName,ComorbidityListDOIDIndex,SampleCollectionDateandTime,Country,HumanPopulationDensity,LatitudeandLongitude,DepthorAltitudeMeters,qiita_sample_name,UniqueSubjectID,LifeStage,UBERONOntologyIndex,DOIDOntologyIndex,ATTRIBUTE_HMP_ID,ATTRIBUTE_HMP_Strain,ATTRIBUTE_NCBI ID,ATTRIBUTE_Domain,ATTRIBUTE_SuperPhyla,ATTRIBUTE_Phylum,ATTRIBUTE_Class,ATTRIBUTE_Order,ATTRIBUTE_Family,ATTRIBUTE_Genus,ATTRIBUTE_Species,ATTRIBUTE_Subspecies,ATTRIBUTE_Source,ATTRIBUTE_Source_health_status,ATTRIBUTE_Media_type,ATTRIBUTE_Sample _type
HMP_FCM_P1_D6.d,MSV000084475,HM_633_BD6_01_45768.mzXML,culture_bacterial,culture_bacterial,411481|Bifidobacterium adolescentis,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_633,Bifidobacterium adolescentis L2_32,411481,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,not applicable,gastrointestinal_stool,healthy,FCM,culture_bacterial
HMP_FCM_P1_C4.d,MSV000084475,HM_709_BC4_01_45748.mzXML,culture_bacterial,culture_bacterial,997882|Bacteroides fragilis,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_709,Bacteroides fragilis CL07T00C01,997882,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,not applicable,gastrointestinal_stool,healthy,FCM,culture_bacterial
HMP_FCM_P1_C5.d,MSV000084475,HM_710_BC5_01_45749.mzXML,culture_bacterial,culture_bacterial,997883|Bacteroides fragilis,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_710,Bacteroides fragilis CL07T12C05,997883,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,not applicable,gastrointestinal_stool,healthy,FCM,culture_bacterial
HMP_FCM_P1_B11.d,MSV000084475,HM_711_BB11_01_45741.mzXML,culture_bacterial,culture_bacterial,997880|Bacteroides fragilis CL05T00C42,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_711,Bacteroides fragilis CL05T00C42,997880,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,not applicable,gastrointestinal_stool,healthy,FCM,culture_bacterial
HMP_FCM_P1_C3.d,MSV000084475,HM_714_BC3_01_45747.mzXML,culture_bacterial,culture_bacterial,997879|Bacteroides fragilis,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_714,Bacteroides fragilis CL03T12C07,997879,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,not applicable,gastrointestinal_stool,healthy,FCM,culture_bacterial
HMP_FCM_P1_B6.d,MSV000084475,HM_717_BB6_01_45734.mzXML,culture_bacterial,culture_bacterial,997875|Bacteroides dorei,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_717,Bacteroides dorei CL02T00C15,997875,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides dorei,not applicable,gastrointestinal_stool,healthy,FCM,culture_bacterial
HMP_FCM_P1_B8.d,MSV000084475,HM_718_BB8_01_45738.mzXML,culture_bacterial,culture_bacterial,997877|Bacteroides dorei CL03T12C01,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_718,Bacteroides dorei CL03T12C01,997877,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides dorei,not applicable,gastrointestinal_stool,healthy,FCM,culture_bacterial
HMP_FCM_P1_B7.d,MSV000084475,HM_719_BB7_01_45737.mzXML,culture_bacterial,culture_bacterial,997876|Bacteroides dorei,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_719,Bacteroides dorei CL02T12C06,997876,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides dorei,not applicable,gastrointestinal_stool,healthy,FCM,culture_bacterial
HMP_FCM_P1_D5.d,MSV000084475,HM_720_BD5_01_45767.mzXML,culture_bacterial,culture_bacterial,997891|Bacteroides vulgatus,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_720,Bacteroides vulgatus CL09T03C04,997891,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides vulgatus,not applicable,gastrointestinal_stool,healthy,FCM,culture_bacterial
HMP_FCM_P1_C7.d,MSV000084475,HM_725_BC7_01_45753.mzXML,culture_bacterial,culture_bacterial,997887|Bacteroides salyersiae,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_725,Bacteroides salyersiae CL02T12C01,997887,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae,not applicable,gastrointestinal_stool,healthy,FCM,culture_bacterial
HMP_FCM_P1_B4.d,MSV000084475,HM_726_BB4_01_45732.mzXML,culture_bacterial,culture_bacterial,997874|Bacteroides cellulosilyticus,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_726,Bacteroides cellulosilyticus CL02T12C19,997874,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides cellulosilyticus,not applicable,gastrointestinal_stool,healthy,FCM,culture_bacterial
HMP_FCM_P1_B12.d,MSV000084475,HM_727_BB12_01_45742.mzXML,culture_bacterial,culture_bacterial,997888|Bacteroides finegoldii,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_727,Bacteroides finegoldii CL09T03C10,997888,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,not applicable,gastrointestinal_stool,healthy,FCM,culture_bacterial
HMP_FCM_P1_B3.d,MSV000084475,HM_728_BB3_01_45731.mzXML,culture_bacterial,culture_bacterial,997873|Bacteroides caccae,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_728,Bacteroides caccae CL03T12C61,997873,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,not applicable,gastrointestinal_stool,healthy,FCM,culture_bacterial
HMP_FCM_P1_A9.d,MSV000084475,HM_729_BA9_01_45723.mzXML,culture_bacterial,culture_bacterial,999421|Parabacteroides merdae,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_729,Parabacteroides merdae CL09T00C40,999421,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,not applicable,gastrointestinal_stool,healthy,FCM,culture_bacterial
HMP_FCM_P1_A8.d,MSV000084475,HM_730_BA8_01_45722.mzXML,culture_bacterial,culture_bacterial,999420|Parabacteroides merdae,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_730,Parabacteroides merdae CL03T12C32,999420,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,not applicable,gastrointestinal_stool,healthy,FCM,culture_bacterial
HMP_FCM_P1_A7.d,MSV000084475,HM_731_BA7_01_45721.mzXML,culture_bacterial,culture_bacterial,999419|Parabacteroides johnsonii,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_731,Parabacteroides johnsonii CL02T12C29,999419,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides johnsonii,not applicable,gastrointestinal_stool,healthy,FCM,culture_bacterial
HMP_FCM_P1_E9.d,MSV000084475,HM_780_BE9_01_45789.mzXML,culture_bacterial,culture_bacterial,936595|Clostridiales sp. OBRC5-5,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_780,Clostridiales sp. OBRC5_5,936595,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoanaerobaculum,not applicable,not applicable,oral,unspecified,FCM,culture_bacterial
HMP_FCM_P1_B1.d,MSV000084475,HM_81_BB1_01_45729.mzXML,culture_bacterial,culture_bacterial,187327|Acidaminococcus sp. D21,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_81,Acidaminococcus sp. D21,187327,Bacteria,Terrabacteria group,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,not applicable,not applicable,gastrointestinal_tissue,diseased_Crohn's,FCM,culture_bacterial
HMP_FCM_P1_E3.d,MSV000084475,HM_845_BE3_01_45781.mzXML,culture_bacterial,culture_bacterial,1161743|Bifidobacterium longum subsp. longum 44B,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_845,Bifidobacterium longum subsp. longum 44B,1161743,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,Bifidobacterium longum subsp. longum,unspecified,unspecified,FCM,culture_bacterial
HMP_FCM_P1_D12.d,MSV000084475,HM_846_BD12_01_45776.mzXML,culture_bacterial,culture_bacterial,1161744|Bifidobacterium longum subsp. longum 1-6B,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_846,Bifidobacterium longum subsp. longum 1_6B,1161744,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,Bifidobacterium longum subsp. longum,gastrointestinal_stool,healthy,FCM,culture_bacterial
HMP_FCM_P1_E2.d,MSV000084475,HM_847_BE2_01_45780.mzXML,culture_bacterial,culture_bacterial,1161904|Bifidobacterium longum subsp. longum 35B,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_847,Bifidobacterium longum subsp. longum 35B,1161904,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,Bifidobacterium longum subsp. longum,unspecified,unspecified,FCM,culture_bacterial
HMP_FCM_P1_E1.d,MSV000084475,HM_848_BE1_01_45779.mzXML,culture_bacterial,culture_bacterial,1161745|Bifidobacterium longum subsp. longum 2-2B,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_848,Bifidobacterium longum subsp. longum 2_2B,1161745,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,Bifidobacterium longum subsp. longum,unspecified,unspecified,FCM,culture_bacterial
HMP_FCM_P1_A3.d,MSV000084475,HM_85_BA3_01_45715.mzXML,culture_bacterial,culture_bacterial,100884|Coprobacillus sp. D6 (29_1),2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_85,Coprobacillus sp. D6 (29_1),100884,Bacteria,Terrabacteria group,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,not applicable,not applicable,gastrointestinal_tissue,diseased_Crohn's,FCM,culture_bacterial
HMP_FCM_P1_D10.d,MSV000084475,HM_856_BD10_01_45774.mzXML,culture_bacterial,culture_bacterial,1203540|Bifidobacterium breve,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_856,Bifidobacterium breve HPH0326,1203540,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium breve,not applicable,gastrointestinal_mucosa,unspecified,FCM,culture_bacterial
HMP_FCM_P1_E5.d,MSV000084475,HM_868_BE5_01_45783.mzXML,culture_bacterial,culture_bacterial,1161409|Bifidobacterium sp. MSTE12,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_868,Bifidobacterium sp. MSTE12,1161409,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,not applicable,not applicable,oral,unspecified,FCM,culture_bacterial
HMP_FCM_P2_A4.d,MSV000084475,HM_1033_redo_BA4_01_45980.mzXML,culture_bacterial,culture_bacterial,1226325|Clostridium sp. KLE 1755,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_1033,Clostridium sp. KLE 1755,1226325,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,not applicable,not applicable,gastrointestinal_stool,healthy,FCM,culture_bacterial
HMP_FCM_P2_D4.d,MSV000084475,HM_1043_BD4_01_45951.mzXML,culture_bacterial,culture_bacterial,1125704|Lachnospiraceae sp. CC70A,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_1043,Lachnospiraceae sp. CC70A,1125704,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum,Cellulosilyticum lentocellum,not applicable,gastrointestinal_tissue,unspecified,FCM,culture_bacterial
HMP_FCM_P2_A1.d,MSV000084475,HM_1044_BA1_01_45900.mzXML,culture_bacterial,culture_bacterial,1073358|Clostridium orbiscindens CC43_001K,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_1044,Clostridium orbiscindens CC43_001K,1073358,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,Flavonifractor plautii,not applicable,gastrointestinal_tissue,unspecified,FCM,culture_bacterial
HMP_FCM_P2_E11.d,MSV000084475,HM_1052_BE11_01_45976.mzXML,culture_bacterial,culture_bacterial,1073374|Parvimonas micra CC57A,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_1052,Parvimonas micra CC57A,1073374,Bacteria,Terrabacteria group,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Parvimonas,Parvimonas micra,not applicable,gastrointestinal_tissue,unspecified,FCM,culture_bacterial
HMP_FCM_P2_C2.d,MSV000084475,HM_1105_BC2_01_45933.mzXML,culture_bacterial,culture_bacterial,1261057|Gardnerella vaginalis,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_1105,Gardnerella vaginalis JCP7275,1261057,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella vaginalis,not applicable,vaginal,diseased_bacterial vaginosis,FCM,culture_bacterial
HMP_FCM_P2_C3.d,MSV000084475,HM_1106_BC3_01_45934.mzXML,culture_bacterial,culture_bacterial,1261058|Gardnerella vaginalis,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_1106,Gardnerella vaginalis JCP7276,1261058,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella vaginalis,not applicable,vaginal,diseased_bacterial vaginosis,FCM,culture_bacterial
HMP_FCM_P2_C4.d,MSV000084475,HM_1107_BC4_01_45935.mzXML,culture_bacterial,culture_bacterial,1261059|Gardnerella vaginalis,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_1107,Gardnerella vaginalis JCP7659,1261059,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella vaginalis,not applicable,vaginal,diseased_bacterial vaginosis,FCM,culture_bacterial
HMP_FCM_P2_C5.d,MSV000084475,HM_1108_BC5_01_45936.mzXML,culture_bacterial,culture_bacterial,1261060|Gardnerella vaginalis JCP7672,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_1108,Gardnerella vaginalis JCP7672,1261060,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella vaginalis,not applicable,vaginal,healthy,FCM,culture_bacterial
HMP_FCM_P2_C6.d,MSV000084475,HM_1109_BC6_01_45937.mzXML,culture_bacterial,culture_bacterial,1261061|Gardnerella vaginalis,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_1109,Gardnerella vaginalis JCP7719,1261061,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella vaginalis,not applicable,vaginal,diseased_bacterial vaginosis,FCM,culture_bacterial
HMP_FCM_P2_C7.d,MSV000084475,HM_1110_BC7_01_45940.mzXML,culture_bacterial,culture_bacterial,1261062|Gardnerella vaginalis,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_1110,Gardnerella vaginalis JCP8017A,1261062,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella vaginalis,not applicable,vaginal,diseased_bacterial vaginosis,FCM,culture_bacterial
HMP_FCM_P2_C8.d,MSV000084475,HM_1111_BC8_01_45941.mzXML,culture_bacterial,culture_bacterial,1261063|Gardnerella vaginalis,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_1111,Gardnerella vaginalis JCP8017B,1261063,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella vaginalis,not applicable,vaginal,diseased_bacterial vaginosis,FCM,culture_bacterial
